tier,division,match_id
GRANDMASTERS,GR,NA1_4588750262
GRANDMASTERS,GR,NA1_4588733483
GRANDMASTERS,GR,NA1_4588714113
GRANDMASTERS,GR,NA1_4588705882
GRANDMASTERS,GR,NA1_4588558888
GRANDMASTERS,GR,NA1_4588543283
GRANDMASTERS,GR,NA1_4588521431
GRANDMASTERS,GR,NA1_4588156219
GRANDMASTERS,GR,NA1_4588136933
GRANDMASTERS,GR,NA1_4588099534
GRANDMASTERS,GR,NA1_4588075056
GRANDMASTERS,GR,NA1_4588043503
GRANDMASTERS,GR,NA1_4588014356
GRANDMASTERS,GR,NA1_4587982908
GRANDMASTERS,GR,NA1_4587947708
GRANDMASTERS,GR,NA1_4587919713
GRANDMASTERS,GR,NA1_4587900388
GRANDMASTERS,GR,NA1_4587873610
GRANDMASTERS,GR,NA1_4587673340
GRANDMASTERS,GR,NA1_4587651982
GRANDMASTERS,GR,NA1_4587618063
GRANDMASTERS,GR,NA1_4587572814
GRANDMASTERS,GR,NA1_4587526679
GRANDMASTERS,GR,NA1_4587480128
GRANDMASTERS,GR,NA1_4587420097
GRANDMASTERS,GR,NA1_4587379586
GRANDMASTERS,GR,NA1_4587335071
GRANDMASTERS,GR,NA1_4587302739
GRANDMASTERS,GR,NA1_4587066054
GRANDMASTERS,GR,NA1_4586949280
GRANDMASTERS,GR,NA1_4586926565
GRANDMASTERS,GR,NA1_4586915248
GRANDMASTERS,GR,NA1_4586206854
GRANDMASTERS,GR,NA1_4586187961
GRANDMASTERS,GR,NA1_4588750206
GRANDMASTERS,GR,NA1_4588736059
GRANDMASTERS,GR,NA1_4586084920
GRANDMASTERS,GR,NA1_4586071927
GRANDMASTERS,GR,NA1_4586044321
GRANDMASTERS,GR,NA1_4586029464
GRANDMASTERS,GR,NA1_4586014608
GRANDMASTERS,GR,NA1_4586000277
GRANDMASTERS,GR,NA1_4585980666
GRANDMASTERS,GR,NA1_4574074739
GRANDMASTERS,GR,NA1_4574033033
GRANDMASTERS,GR,NA1_4573996445
GRANDMASTERS,GR,NA1_4572709614
GRANDMASTERS,GR,NA1_4572687530
GRANDMASTERS,GR,NA1_4572668899
GRANDMASTERS,GR,NA1_4571348032
GRANDMASTERS,GR,NA1_4571317598
GRANDMASTERS,GR,NA1_4571295388
GRANDMASTERS,GR,NA1_4571276032
GRANDMASTERS,GR,NA1_4566035503
GRANDMASTERS,GR,NA1_4563847935
GRANDMASTERS,GR,NA1_4563803265
GRANDMASTERS,GR,NA1_4563733312
GRANDMASTERS,GR,NA1_4563723818
GRANDMASTERS,GR,NA1_4563685392
GRANDMASTERS,GR,NA1_4563665496
GRANDMASTERS,GR,NA1_4563655066
GRANDMASTERS,GR,NA1_4563642018
GRANDMASTERS,GR,NA1_4563618706
GRANDMASTERS,GR,NA1_4563605542
GRANDMASTERS,GR,NA1_4559661449
GRANDMASTERS,GR,NA1_4559648466
GRANDMASTERS,GR,NA1_4559633498
GRANDMASTERS,GR,NA1_4559631866
GRANDMASTERS,GR,NA1_4558905440
GRANDMASTERS,GR,NA1_4558886226
GRANDMASTERS,GR,NA1_4558857502
GRANDMASTERS,GR,NA1_4558836492
GRANDMASTERS,GR,NA1_4558824089
GRANDMASTERS,GR,NA1_4558806684
GRANDMASTERS,GR,NA1_4558787654
GRANDMASTERS,GR,NA1_4558765695
GRANDMASTERS,GR,NA1_4558760740
GRANDMASTERS,GR,NA1_4558731722
GRANDMASTERS,GR,NA1_4558727116
GRANDMASTERS,GR,NA1_4558707662
GRANDMASTERS,GR,NA1_4558680893
GRANDMASTERS,GR,NA1_4558662650
GRANDMASTERS,GR,NA1_4558654196
GRANDMASTERS,GR,NA1_4558649192
GRANDMASTERS,GR,NA1_4589558987
GRANDMASTERS,GR,NA1_4589540342
GRANDMASTERS,GR,NA1_4589525532
GRANDMASTERS,GR,NA1_4589290328
GRANDMASTERS,GR,NA1_4589264027
GRANDMASTERS,GR,NA1_4589225203
GRANDMASTERS,GR,NA1_4589186084
GRANDMASTERS,GR,NA1_4589137916
GRANDMASTERS,GR,NA1_4589092076
GRANDMASTERS,GR,NA1_4589041349
GRANDMASTERS,GR,NA1_4585801983
